,,,CT_Trujillo-TG,CT_Chimbote-TG,CT_Piura-TG,CT_Piura,CT_Chilayo,CT_Sullana,CT_Paita,CT_Malacas-TG1,CT_Malacas-TG2,CT_Dolorespata,CT_Bellavista_ALCO,CT_Chilina-TV2,CT_Chilina-TV3,CT_Calana-D,CT_Mollendo-TG,CT_Yarinacocha,CT_Chilca-TG1,CT_Chilca-TG2,CT_Chilca-TG3,CT_Kallpa-TG1,CT_Kallpa-TG2,CT_Kallpa-TG3,CT_Trujillo-D2,CT_Mollendo-Emerg,CT_Piura-Emerg,CH_Banhos_V,CT_Huachipa,CT_Ventanilla-CCTG3,CT_Ventanilla-TG3,CT_Ventanilla-CCTG4,CT_Ventanilla-TG4,CT_Ilo_1-TV1,CT_Ilo_1-TV2,CT_Ilo_1-TV3,CT_Ilo_1-TV4,CT_Ilo_1-TG1,CT_Ilo_1-TG2,CT_Ilo_1-CAT,CT_Taparachi,CT_Mollendo,CT_Chilina-TG,CT_Chilina-SLZ,CT_San_Nicolas-TV,CT_San_Nicolas-CUM,CT_Tumbes-MAK1,CT_Tumbes-MAK2,CT_Santa_Rosa-UTI5-D,CT_Santa_Rosa-UTI6-D,CT_Santa_Rosa-TG7,CT_Santa_Rosa-TG8,CT_Malacas-TG4,CT_Malacas-TG4H2O,CT_Aguaytia-TG1,CT_Aguaytia-TG2,CT_Ilo_2-TV21,CT_Ventanilla-CC,CB_Oquendo-TG1,CB_Paramonga,CT_Las_Flores,CT_Pisco,CT_Independencia,CH_Carpapata,CT_Tarapoto,CT_Bellavista,CT_Moyobamba,CH_Purmacana,CB_Huaycoloro_I,CT_Kallpa-CC,CB_Maple,CT_Tablazo,CS_Majes,CS_Reparticion,CS_Tacna,CT_Chilca_1-CC,CS_Panamericana,CT_Planta_Ilo-DD,CT_Malacas-TG5,CT_Olleros-TG1,CE_Marcona,CE_Talara,CE_Cupisnique_I,CH_Runatullu_III,CT_Fenix-CC,CH_Runatullu_II,CS_Moquegua_FV,CH_Canchayllo,CT_Puerto_Maldonado-Emerg,CT_Eten,CB_La_Gringa_V,CT_Recka,CE_Tres_Hermanas,CT_Chilca_2-TG41,CT_Puerto_Bravo-DD,CT_Puerto_Maldonado,CT_Pucallpa,CH_Carpapata_III,CT_Ilo_4-DD,CT_Chilca_2-CC,CT_Malacas-TG6,CH_Potrero,CH_Yarucaya,CS_Rubi,CH_RenovAndes_H1,CS_Intipampa,CT_Olleros-CC,CE_Parque_Nazca,CH_Her_1,CB_Huaycoloro_II,CH_Carhuac,CB_Callao,CH_Centauro_I,CH_Karpa,CH_Manta,CH_Zanha_1,CH_8_de_Agosto,CH_El_Carmen,CE_Huambos,CE_Duna,CH_Santa_Lorenza_I,CH_Laguna_Azul,CH_Hydrika_6,CH_Ayanunga,CT_Refineria_Talara,CH_Shima,CH_Centauro_II,CH_Colca,CH_Kusa,CH_Alli,CH_Hydrika_2,CH_Hydrika_4,CH_Hydrika_1,CH_Huatziroki_I,CH_Hydrika_5,CH_Hydrika_3,CT_Iquitos,CT_Quillabamba,CT_Planta_Ilo-CS,CT_Ilo_4-CS,CT_Puerto_Bravo-CS,CT_Puerto_Bravo-CC,CT_Ilo_4-CC,CT_Santa_Rosa-CC8,CT_El_Faro-TG,CT_El_Faro-CC,CT_Nueva_Esperanza,CT_Sur_-2TG+TV1,CT_Sur_-2TG+TV2,CT_Sur_-2TG+TV3,CT_Marco_-2TG+TV,CT_Norte-2TG+TV1,CT_Norte-2TG+TV2,CT_Norte-2TG+TV3,CH_Tarucani,CH_Pelagatos,CH_Tambo1,RER-Ica,RER-La_Libertad,RER-Moquegua,RER-Lambayeque,CH_Tingo,CH_San_Marcos,CH_Muchcapata,CH_Vilcanota_2,CH_Cola_1,CH_Tulumayo_IV,CH_Tulumayo_V,CH_Macon,CH_Nueva_Esperanza,CH_Las_Cruces,CT_Norte-TG1,CT_Norte-TG2,CT_Norte-TG3,CT_Centro-TG1,CT_Centro-TG2,CT_Centro-TG3,CT_Centro-TG4,CT_Sur_Mollendo-TG1,CT_Sur_Mollendo-TG2,CT_Sur_Ilo-TG3,CH_Viroc,CH_Milloc,CH_Huasicancha,CH_Chilcay,CH_Las_Orquideas,CH_Pallca,CT_Piura-CC,CT_Libertadores-CC,CT_Sulpay-TG,CS_Santa_Bertha,CS_Fotovoltaica_La_Joya,CS_Pampa_de_Siguas,CE_Parque_Malabrigo,CE_Parque_Pampa_Salinas,CE_Yacila,CH_Langui_II,CH_Campanayocc,CH_Roca_Grande,CT_La_Pamplilla,CE_Piura,CT_Fenix-TG1TG2,CT_Shougan-D2,Eolica_Norte,Eolica_Centro,Termosolar_1,Termosolar_2,Ciclo_Combinado_SurMedio1A,Ciclo_Combinado_SurMedio2A,Ciclo_Combinado_SurMedio2B,Ciclo_Combinado_SurMedio3A,Ciclo_Combinado_SurMedio3B,CH_Santa_Rosa_I,CH_Santa_Rosa_II,CH_Huanchor,CH_Aricota_I,CH_Aricota_II,CH_San_Gaban_II,CH_Machupicchu,CH_Charcani_I,CH_Charcani_II,CH_Charcani_III,CH_Charcani_IV,CH_Charcani_V,CH_Charcani_VI,CH_Mantaro,CH_Restitucion,CH_Malpaso,CH_Oroya,CH_Pachachaca,CH_Yaupi,CH_Canhon_Del_Pato,CH_Huinco,CH_Matucana,CH_Callahuanca,CH_Callahuanca-G4,CH_Moyopampa,CH_Huampani,CH_Pariac,CH_San_Antonio,CH_San_Ignacio,CH_Huayllacho,CH_Misapuquio,CH_Cahua,CH_Carhuaquero,CH_Gallito_Ciego,CH_Curumuy,CH_Yanango,CH_Chimay,CH_Poechos_I,CH_Yuncan,CH_Carhuaquero_IV,CH_Canha_Brava,CH_Poechos_II,CH_Santa_Cruz_I,CH_La_Joya,CH_Platanal,CH_Santa_Cruz_II,CH_Roncador,CH_Pias_I,CH_Huasahuasi_I,CH_Nueva_Imperial,CH_Huasahuasi_II,CH_Yanapampa,CH_Las_Pizarras,CH_Huanza,CH_Machupicchu_II,CH_Cheves_I,CH_Santa_Teresa,CH_Quitaracsa,CH_Pequenha_Chaglla,CH_Chancay,CH_Rucuy,CH_Cerro_del_Aguila,CH_Chaglla,CH_Maranhon,CH_Angel_III,CH_Angel_II,CH_Angel_I,CH_La_Virgen,CH_San_Gaban_III,CH_Pucara,CH_Olmos_1,CH_Moyopampa-G4,CH_Santa_Rita,CH_San_Gaban_I,CH_Curibamba,CH_Belo_Horizonte,CH_Churo,CH_San_Gaban_IV-Corani,CH_San_Gaban_IV-Ollachea,CH_Santa_Maria,CH_Inambari,CH_Mainique,CH_Paquitzapango,CH_Tambo_40,CH_Tambo_60,CH_Veracruz,CH_Chadin,CH_Cheves_III,CH_Retamal,CH_Aricota_III,CH_Lluta1,CH_Lluta2,CH_Lluclla,CH_Molloco-Soro,CH_Molloco-Llatica,CH_Rapay_II,CH_Uchuhuerta,CH_El_Canho,CH_Chancay_2,CH_Utcubamba,CH_Chilia,CH_Mara1,CH_Mara2,CH_Mara3,CH_Mara4,CH_Oco2010,CH_Santa_Teresa_2,CH_Santa_Teresa_Amp,CH_Mazan_1,CH_Mazan_2,CH_Amazonas,CH_RS-3,CH_Apurimac_2500,CH_Cativen_1,CH_Cativen_2,CH_Mayo_1,CH_Mayo_2,CH_Garibaldi,CH_Rio_Grande_I,CH_Rio_Grande_II
sc01,y2030,'11/04/2030 10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.003,,,,,,,,,,,,,,1798.507,,,,,,,,2805.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.839,,,,,,,,,,,,,,2011.124,,,,,,,,2790.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.059,,,,,,,,,,,,,,2133.346,,,,,,,,2798.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306.303,,,,,,,,,,,,,,2235.883,,,,,,,,2788.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.208,,,,,,,,,,,,,,2185.914,,,,,,,,2773.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120.802,,,,,,,,,,,,,,1966.847,,,,,,,,2765.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2609.064,,,,,,,,,,,,,,1489.724,,,,,,,,2758.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3055.01,,,,,,,,,,,,,,1050.529,,,,,,,,2756.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2984.52,,,,,,,,,,,,,,522.168,,,,,,,,2769.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2815.825,,,,,,,,,,,,,,69.969,,,,,,,,2783.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3059.875,,,,,,,,,,,,,,0.115,,,,,,,,2793.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3272.914,,,,,,,,,,,,,,0.047,,,,,,,,2767.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3376.725,,,,,,,,,,,,,,0.052,,,,,,,,2756.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'11/04/2030 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3215.493,,,,,,,,,,,,,,0.03,,,,,,,,2688.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3291.21,,,,,,,,,,,,,,0.033,,,,,,,,2622.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3323.359,,,,,,,,,,,,,,0.043,,,,,,,,2620.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3403.75,,,,,,,,,,,,,,0.054,,,,,,,,2621.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3633.283,,,,,,,,,,,,,,0.047,,,,,,,,2571.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3751.538,,,,,,,,,,,,,,0.161,,,,,,,,2561.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4052.678,,,,,,,,,,,,,,0.937,,,,,,,,2562.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4367.468,,,,,,,,,,,,,,12.563,,,,,,,,2551.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4737.916,,,,,,,,,,,,,,328.053,,,,,,,,2540.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4183.882,,,,,,,,,,,,,,1217.069,,,,,,,,2546.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4010.384,,,,,,,,,,,,,,2039.88,,,,,,,,2559.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4874.454,,,,,,,,,,,,,,2680.636,,,,,,,,2522.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5976.494,,,,,,,,,,,,,,3088.228,,,,,,,,2446.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6675.59,,,,,,,,,,,,,,3189.436,,,,,,,,2395.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sc01,y2030,'12/04/2030 13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7442.742,,,,,,,,,,,,,,3132.044,,,,,,,,2370.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
